ID_PRODUCTO;NOMBRE;TALLA;STOCK_ACTUAL_EN_APP;STOCK_REAL_FISICO
44;"FUTSAL NIKE GATO AGRESTE ROJO-BLANCO  ";"44";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"37";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"38";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"39";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"40";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"41";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"42";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"43";0;
45;"FUTSAL NIKE GATO STREET BEIGE SUELA GOMA  ";"44";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"37";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"38";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"39";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"40";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"41";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"42";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"43";0;
47;"FUTSAL NIKE GATO LUNAR AZUL-BLANCO  ";"44";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"37";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"38";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"39";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"40";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"41";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"42";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"43";0;
51;"TENI GUAYO ADIDAS PREDATOR LEAGUE NEGRO-AZUL  ";"44";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"37";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"38";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"39";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"40";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"41";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"42";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"43";0;
53;"FUTSAL NIKE GATO SUPREME NEGRO-BLANCO  ";"44";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"37";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"38";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"39";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"40";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"41";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"42";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"43";0;
87;" TENIGUAYO PHANTOM GX 6 ELITE ";"44";0;
88;"FUTSAL GATO SUPREME";"37";0;
88;"FUTSAL GATO SUPREME";"38";0;
88;"FUTSAL GATO SUPREME";"39";0;
88;"FUTSAL GATO SUPREME";"40";0;
88;"FUTSAL GATO SUPREME";"41";0;
88;"FUTSAL GATO SUPREME";"42";0;
88;"FUTSAL GATO SUPREME";"43";0;
88;"FUTSAL GATO SUPREME";"44";0;
89;"FUTSAL GATO SUPREME";"37";0;
89;"FUTSAL GATO SUPREME";"38";0;
89;"FUTSAL GATO SUPREME";"39";0;
89;"FUTSAL GATO SUPREME";"40";0;
89;"FUTSAL GATO SUPREME";"41";0;
89;"FUTSAL GATO SUPREME";"42";0;
89;"FUTSAL GATO SUPREME";"43";0;
89;"FUTSAL GATO SUPREME";"44";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"37";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"38";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"39";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"40";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"41";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"42";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"43";0;
90;"GUAYO PREDATOR 26 ELITE FG ";"44";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"37";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"38";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"39";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"40";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"41";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"42";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"43";0;
91;"GUAYO NIKE PHANTOM GX 6 ELITE ";"44";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"37";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"38";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"39";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"40";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"41";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"42";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"43";0;
92;"GUAYO PREDATOR EDGE-EDICIÓN LIMITADA ";"44";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"37";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"38";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"39";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"40";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"41";0;
93;"GUAYO NIKE PHANTOM GX 6 TACHES DE ALUMINIO ";"42";0;
